Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,VWAP
2024-04-12,89.66953943111257,90.1453886602286,87.50125303417155,88.15703582763672,426805000,0.0,0.0,88.60122584067896
2024-04-15,89.06872264461606,90.58322421693445,85.90076523534208,85.97274017333984,443077000,0.0,0.0,88.03296653152273
2024-04-16,86.40460421758179,88.08904823109181,86.03572977127556,87.38628387451172,370453000,0.0,0.0,87.77532854231522
2024-04-17,88.3109710984958,88.7458333599475,83.92241409948026,84.00739288330078,495400000,0.0,0.0,87.14263191258755
2024-04-18,84.94208621726145,86.16168663370678,82.37492908333081,84.64318084716797,447260000,0.0,0.0,86.5793316704332
2024-04-19,83.12268637450086,84.29629668319684,75.58116589392048,76.17496490478516,875198000,0.0,0.0,84.31987526043409
2024-04-22,78.07834524781059,80.04670035538005,76.3749101252901,79.49188232421875,596341000,0.0,0.0,83.39268837556838
2024-04-23,80.74246382535908,82.7418068067518,80.23763246823718,82.39591979980469,438559000,0.0,0.0,83.22115794911417
2024-04-24,83.92241667959377,84.05437709629325,79.1569845005292,79.65082550048828,512208000,0.0,0.0,82.96900841653131
2024-04-25,78.84209462361733,83.29563335625151,78.19730980842563,82.60486602783203,424641000,0.0,0.0,82.83367283905702
2024-04-26,83.79047109382074,88.30198930446801,83.3596128981717,87.70618438720703,551011000,0.0,0.0,83.19130045465678
2024-04-29,87.56621534740458,87.96308042933138,85.23797833453733,87.72816467285156,388971000,0.0,0.0,83.43791950608633
2024-04-30,87.21134895392602,88.7898328026838,86.27166282860942,86.37362670898438,363709000,0.0,0.0,83.65080101839492
2024-05-01,85.04905184528752,85.9717451202874,81.22830132116862,83.01371765136719,559863000,0.0,0.0,83.63080455480157
2024-05-02,84.42125626969049,86.20867093085921,83.17266601309362,85.78881072998047,377898000,0.0,0.0,83.70490988346953
2024-05-03,87.76016278941914,89.25166943381491,87.01140828668458,88.75983428955078,398341000,0.0,0.0,83.945691747481
2024-05-06,89.36062948973989,92.18970149787158,89.02574047227303,92.10972595214844,376203000,0.0,0.0,84.28059717555489
2024-05-07,91.06806618454974,91.75084041902228,88.98175395384375,90.52424621582031,437342000,0.0,0.0,84.59705002503775
2024-05-08,89.45360566200054,91.16404211729393,89.39062281924463,90.3823013305664,325721000,0.0,0.0,84.80837752198744
2024-05-09,90.4992620554592,91.04208295679378,88.20202038816478,88.71784973144531,378013000,0.0,0.0,84.99404155209244
2024-05-10,90.27534193987526,91.37098265790202,89.19769305265027,89.84848022460938,335325000,0.0,0.0,85.17522084230647
2024-05-13,90.44827727503778,90.96811074029578,88.49991996993283,90.36930847167969,289680000,0.0,0.0,85.31606193707053
2024-05-14,89.56956971282393,91.62089767401247,88.90478722070216,91.32599639892578,296507000,0.0,0.0,85.47155766199978
2024-05-15,92.4416118733137,94.83082585877617,91.56889766124672,94.5988998413086,417735000,0.0,0.0,85.79676261084279
2024-05-16,94.87882442022669,95.78752238437566,94.07208269713682,94.3280029296875,323952000,0.0,0.0,86.06345616074579
2024-05-17,94.33800216120143,94.70887485375151,91.77584059273352,92.44861602783203,359691000,0.0,0.0,86.28531524480765
2024-05-20,93.71921034558147,95.16873108150425,93.40931459730984,94.74887084960938,318764000,0.0,0.0,86.51085342881349
2024-05-21,93.56825212335475,95.36866300361463,93.14939104451075,95.35466766357422,328946000,0.0,0.0,86.73592959057176
