Date,Open,High,Low,Close,Adj Close,Volume
3/1/2023,14.85099983215332,14.996000289916992,14.095999717712402,14.31499958,14.303279876708984,401277000
4/1/2023,14.567000389099121,14.852999687194824,14.241000175476074,14.74899959564209,14.736924171447754,431324000
5/1/2023,14.491000175476074,14.564000129699707,14.14799976348877,14.265000343322754,14.253320693969727,389168000
6/1/2023,14.473999977111816,15.010000228881836,14.034000396728516,14.859000205993652,14.846835136413574,405044000
9/1/2023,15.284000396728516,16.055999755859375,15.140999794006348,15.628000259399414,15.615203857421875,504231000
10/1/2023,15.506999969482422,15.961999893188477,15.472000122070312,15.909000396728516,15.895974159240723,384101000
11/1/2023,15.84000015258789,16.027999877929688,15.562999725341797,16.000999450683594,15.987897872924805,353285000
12/1/2023,16.100000381469727,16.636999130249023,15.491999626159668,16.51099967956543,16.497482299804688,551409000
13/1/2023,16.277999877929688,16.922000885009766,16.165000915527344,16.89900016784668,16.885162353515625,447287000
17/1/2023,16.89900016784668,17.72800064086914,16.89900016784668,17.70199966430664,17.68750762939453,511102000
18/1/2023,17.66699981689453,17.87299919128418,17.281999588012695,17.37700080871582,17.362775802612305,439624000
19/1/2023,17.035999298095703,17.19700050354004,16.731000900268555,16.764999389648438,16.751272201538086,452932000
20/1/2023,17.01099967956543,17.856000900268555,16.825000762939453,17.839000701904297,17.82439422607422,564967000
23/1/2023,18.06399917602539,19.24500084,17.81800079345703,19.19300079345703,19.17728614807129,655163000
24/1/2023,18.82699966430664,19.49500084,18.81999969482422,19.264999389648438,19.24922752380371,496204000
25/1/2023,18.913000106811523,19.37000084,18.579999923706055,19.322999954223633,19.307178497314453,449537000
26/1/2023,19.701000213623047,20.166000366210938,19.277999877929688,19.802000045776367,19.785785675048828,489535000
27/1/2023,19.461999893188477,20.628000259399414,19.405000686645508,20.364999771118164,20.34832763671875,542142000
30/1/2023,19.950000762939453,20.139999389648438,19.149999618530273,19.16200065612793,19.14631462097168,488611000
31/1/2023,19.170000076293945,19.687000274658203,18.950000762939453,19.53700065612793,19.521005630493164,498017000
1/2/2023,19.69099998474121,21.191999435424805,19.611000061035156,20.94300079345703,20.92585563659668,660477000
2/2/2023,21,21.948999404907227,20.700000762939453,21.708999633789062,21.691225051879883,564276000
3/2/2023,21,21.74500084,20.788999557495117,21.100000381469727,21.08272361755371,429366000
6/2/2023,20.805999755859375,21.56999969482422,20.785999298095703,21.089000701904297,21.071735382080078,452197000
7/2/2023,21.381999969482422,22.259000778198242,21.149999618530273,22.17300033569336,22.154848098754883,664150000
8/2/2023,22.386999130249023,22.878000259399414,22.007999420166016,22.204999923706055,22.18682098388672,559651000
9/2/2023,22.606000900268555,23.020000457763672,22.12000084,22.336999893188477,22.31871223449707,523876000
10/2/2023,21.690000534057617,22.077999114990234,20.81100082397461,21.264999389648438,21.247587203979492,550737000
13/2/2023,21.538000106811523,22.04800033569336,20.961999893188477,21.788000106811523,21.770160675048828,474919000
14/2/2023,21.577999114990234,23.048999786376953,21.365999221801758,22.97100067138672,22.952194213867188,675474000
15/2/2023,22.548999786376953,22.854999542236328,22.106000900268555,22.763999938964844,22.74536133,420575000
16/2/2023,22.132999420166016,22.549999237060547,21.927000045776367,22.00200080871582,21.983989715576172,412026000
17/2/2023,21.631000518798828,21.739999771118164,20.975000381469727,21.38800048828125,21.370487213134766,465888000
21/2/2023,21,21.493999481201172,20.618000030517578,20.655000686645508,20.638090133666992,410015000
22/2/2023,20.707000732421875,21.104000091552734,20.42099952697754,20.753999710083008,20.737009048461914,513184000
23/2/2023,23.440000534057617,23.88800048828125,23.024999618530273,23.663999557495117,23.644624710083008,1117995000
24/2/2023,23.225000381469727,23.474000930786133,22.94700050354004,23.285999298095703,23.26693344116211,589716000
27/2/2023,23.670000076293945,23.87999916,23.45400047302246,23.500999450683594,23.48175621032715,452994000
28/2/2023,23.371999740600586,23.825000762939453,23.20599937438965,23.215999603271484,23.196989059448242,455963000
1/3/2023,23.191999435424805,23.256000518798828,22.507999420166016,22.697999954223633,22.67941665649414,460026000
2/3/2023,22.488000869750977,23.37999916,22.43199920654297,23.31399917602539,23.29490852355957,389415000
3/3/2023,23.31999969482422,23.899999618530273,23.12999916,23.889999389648438,23.870439529418945,412393000
6/3/2023,23.891000747680664,24.24799919128418,23.48699951171875,23.554000854492188,23.534717559814453,437429000
