Date,lag_5,lag_4,lag_3,lag_2,lag_1,Close
2024-04-19,88.15703582763672,85.97274017333984,87.38628387451172,84.00739288330078,84.64318084716797,76.17496490478516
2024-04-22,85.97274017333984,87.38628387451172,84.00739288330078,84.64318084716797,76.17496490478516,79.49188232421875
2024-04-23,87.38628387451172,84.00739288330078,84.64318084716797,76.17496490478516,79.49188232421875,82.39591979980469
2024-04-24,84.00739288330078,84.64318084716797,76.17496490478516,79.49188232421875,82.39591979980469,79.65082550048828
2024-04-25,84.64318084716797,76.17496490478516,79.49188232421875,82.39591979980469,79.65082550048828,82.60486602783203
2024-04-26,76.17496490478516,79.49188232421875,82.39591979980469,79.65082550048828,82.60486602783203,87.70618438720703
2024-04-29,79.49188232421875,82.39591979980469,79.65082550048828,82.60486602783203,87.70618438720703,87.72816467285156
2024-04-30,82.39591979980469,79.65082550048828,82.60486602783203,87.70618438720703,87.72816467285156,86.37362670898438
2024-05-01,79.65082550048828,82.60486602783203,87.70618438720703,87.72816467285156,86.37362670898438,83.01371765136719
2024-05-02,82.60486602783203,87.70618438720703,87.72816467285156,86.37362670898438,83.01371765136719,85.78881072998047
2024-05-03,87.70618438720703,87.72816467285156,86.37362670898438,83.01371765136719,85.78881072998047,88.75983428955078
2024-05-06,87.72816467285156,86.37362670898438,83.01371765136719,85.78881072998047,88.75983428955078,92.10972595214844
2024-05-07,86.37362670898438,83.01371765136719,85.78881072998047,88.75983428955078,92.10972595214844,90.52424621582033
2024-05-08,83.01371765136719,85.78881072998047,88.75983428955078,92.10972595214844,90.52424621582033,90.3823013305664
2024-05-09,85.78881072998047,88.75983428955078,92.10972595214844,90.52424621582033,90.3823013305664,88.71784973144531
2024-05-10,88.75983428955078,92.10972595214844,90.52424621582033,90.3823013305664,88.71784973144531,89.84848022460938
2024-05-13,92.10972595214844,90.52424621582033,90.3823013305664,88.71784973144531,89.84848022460938,90.36930847167967
2024-05-14,90.52424621582033,90.3823013305664,88.71784973144531,89.84848022460938,90.36930847167967,91.32599639892578
2024-05-15,90.3823013305664,88.71784973144531,89.84848022460938,90.36930847167967,91.32599639892578,94.5988998413086
2024-05-16,88.71784973144531,89.84848022460938,90.36930847167967,91.32599639892578,94.5988998413086,94.3280029296875
2024-05-17,89.84848022460938,90.36930847167967,91.32599639892578,94.5988998413086,94.3280029296875,92.44861602783205
2024-05-20,90.36930847167967,91.32599639892578,94.5988998413086,94.3280029296875,92.44861602783205,94.74887084960938
2024-05-21,91.32599639892578,94.5988998413086,94.3280029296875,92.44861602783205,94.74887084960938,95.35466766357422
2024-05-22,94.5988998413086,94.3280029296875,92.44861602783205,94.74887084960938,95.35466766357422,94.9188003540039
2024-05-23,94.3280029296875,92.44861602783205,94.74887084960938,95.35466766357422,94.9188003540039,103.7649154663086
2024-05-24,92.44861602783205,94.74887084960938,95.35466766357422,94.9188003540039,103.7649154663086,106.43402862548828
2024-05-28,94.74887084960938,95.35466766357422,94.9188003540039,103.7649154663086,106.43402862548828,113.86357879638672
2024-05-29,95.35466766357422,94.9188003540039,103.7649154663086,106.43402862548828,113.86357879638672,114.78727722167967
2024-05-30,94.9188003540039,103.7649154663086,106.43402862548828,113.86357879638672,114.78727722167967,110.46369934082033
2024-05-31,103.7649154663086,106.43402862548828,113.86357879638672,114.78727722167967,110.46369934082033,109.59698486328124
2024-06-03,106.43402862548828,113.86357879638672,114.78727722167967,110.46369934082033,109.59698486328124,114.96221923828124
2024-06-04,113.86357879638672,114.78727722167967,110.46369934082033,109.59698486328124,114.96221923828124,116.39874267578124
2024-06-05,114.78727722167967,110.46369934082033,109.59698486328124,114.96221923828124,116.39874267578124,122.3997802734375
2024-06-06,110.46369934082033,109.59698486328124,114.96221923828124,116.39874267578124,122.3997802734375,120.95825958251952
2024-06-07,109.59698486328124,114.96221923828124,116.39874267578124,122.3997802734375,120.95825958251952,120.8482894897461
